QID,QuestionText,Response,Classification 1,Classification 2,Classification 3
1,,though candles not help would freshners air lunch in bring we when alot smells it kitchen the in odor trrible the of rid get,kitchen,,
2,,care t don i,not helpful,,
3,,in phone can we so up set calls video get everyday wfh,work/life balance,tech,
4,,nothing,positive,not helpful,
5,,anyway this read will anyone like blah blah,not helpful,,
6,,etc requests night movie game iii improvements office ii lunch wednesday i for used be could box vote sugestions,tools,entertainment,food
7,,ngry me makes it and right not its it labeled i after even food my stealing from people stop snacks better,food,,
8,,boy pony golden stay,not helpful,,
9,,etc documentary show tv lecture e i lunch at show week a once,entertainment,,
10,,hunts scavenger and games board games video more,entertainment,,
11,,thing a change t wouldn i office teh love,positive,,
12,,perfect is office the otherwise snacks healthy more better,food,positive,
13,,environment workplace better a of think t can i,positive,,
14,,sayin just workspace their decorate to $ employee each gives,decor,,
15,,fire on building the set ll i then stapler my take they if because okay not s it and stapler swingline the for staples the kept i and much as up bind t didn it because stapler swingline my kept i but stapler boston the to swingline the from switched they then but merry were they and squirrels the see could i and window the by over be to used i and year this already times four desk my moved ve they,not helpful,tools,
16,,desks standing or robots tellpresience trying to no say t wouldn i,tech,furniture,
17,,out it pinted when meeting the in embarassing was it me of out hell the bugs it and misaligned is projector the,tech,,
18,,game giants a like though activities offsite more do should we anything change t don great is office the,work/life balance,positive,
19,,to want we if lunchtime at even or work before workout also could we up cleaning mind t wouldn and work from to bike us of lot a showers,sanitation,,
20,,environment free unicorn a in work to wish i,not helpful,,
21,,beer more better bar box suggestion snack,food,,
22,,sf to office the move,not helpful,,
23,,at meetings have could we least at or discounts for with arrngment an have should we good no is keurig the,food,kitchen,
24,,milk almond coffee actual fruit fresher,food,,
25,,up stand druing down sit to want i,not helpful,,
26,,well is all otherwise room conference a in together work and music some play could us of few a then speakers sonos,entertainment,tech,
27,,rooms confrnce the in webcams desk each at whiteboards personal,tools,tech,
28,,room nap a for room conference a retrofit,productivity,,
29,,oursleves them give we or videos lectures guest series lecture,productivity,entertainment,
30,,better be could chairs,furniture,,
31,,nights game and drinks more have maybe else anywere work to want t wouldn office the love i,positive,entertainment,food
32,,street the down at membership gym a maybe and workout lunchtime for allow late working when dinner in bring snacks healthier,work/life balance,food,
33,,surveys fewer,not helpful,,
34,,beer club book games video drones,entertainment,tech,food
35,,anyting change wouldnt i clean bathrooms and kitchen great is food phenomnal are tech and supplies,positive,,
